name,cuisine,budget,location,dietary_tags,description,rating
Enigma,multi_cuisine,premium,cg_road,vegetarian;non_vegetarian,Multi-cuisine fine-dining restaurant on CG Road.,
Flames,multi_cuisine,mid,bodakdev,vegetarian;non_vegetarian,Multi-cuisine restaurant in Bodakdev.,
Flavors,multi_cuisine,mid,bodakdev,vegetarian;non_vegetarian,Multi-cuisine restaurant in Bodakdev.,
Indus,multi_cuisine,mid,jivraj_park,vegetarian;non_vegetarian,Multi-cuisine restaurant in Jivraj Park.,
La Feasta,multi_cuisine,premium,cg_road,vegetarian;non_vegetarian,Multi-cuisine fine-dining restaurant on CG Road.,
La Fontaine,multi_cuisine,premium,lal_darwaza,vegetarian;non_vegetarian,Multi-cuisine fine-dining restaurant in the old city.,
La Vista,multi_cuisine,premium,khanpur_road,vegetarian;non_vegetarian,Multi-cuisine fine-dining restaurant on Khanpur Road.,
Mayfair,multi_cuisine,mid,iscon_temple,vegetarian;non_vegetarian,Multi-cuisine restaurant near Iscon Temple.,
Wow,multi_cuisine,mid,ellisbridge,vegetarian;non_vegetarian,Multi-cuisine restaurant in Ellisbridge.,
Kobe Sizzeler,continental,mid,sg_highway,vegetarian;non_vegetarian,Sizzler-focused continental restaurant on SG Highway.,
Lounge 9,lounge,premium,atira_road,vegetarian;non_vegetarian,Lounge and multi-cuisine restaurant near ATIRA Road.,
TC's The Lounge,lounge,premium,ellisbridge,vegetarian;non_vegetarian,Lounge restaurant in Ellisbridge.,
Trist The Lounge,lounge,premium,sg_highway,vegetarian;non_vegetarian,Lounge restaurant on SG Highway.,
Food Inn,multi_cuisine,mid,bodakdev,vegetarian;non_vegetarian,Multi-cuisine restaurant serving Asian continental and North Indian dishes.,
Nutan,north_indian,mid,lal_darwaza,vegetarian;non_vegetarian,North Indian and Chinese restaurant in the old city.,
Hotel ZK,north_indian,mid,lal_darwaza,vegetarian;non_vegetarian,North Indian Chinese and continental restaurant.,
Zen Cafe,cafe,mid,navrangpura,vegetarian,Cafe on the Kasturbhai Lalbhai campus near University Road.,
New Lucky Restaurant,north_indian,budget,lal_darwaza,vegetarian;non_vegetarian,Indian and Chinese restaurant in the old city.,
Just Mexican,mexican,mid,university_road,vegetarian;non_vegetarian,Mexican restaurant on University Road.,
Kunal Restaurant,gujarati,budget,ashram_road,vegetarian,Gujarati restaurant on Ashram Road.,
Tulsi Restaurant,north_indian,mid,navrangpura,vegetarian,Restaurant on University Road in Navrangpura.,
Zenith Restaurant,multi_cuisine,mid,paldi,vegetarian;non_vegetarian,Restaurant at Paldi Cross Road.,
Rasna Restaurant,gujarati,budget,maninagar,vegetarian,Restaurant near Maninagar Cross Road.,
Ashray The Restaurant,gujarati,mid,subhash_bridge,vegetarian,Restaurant near Gandhi Ashram and RTO Circle.,
Topaz Restaurant & Banquet,multi_cuisine,mid,isanpur,vegetarian;non_vegetarian,Restaurant and banquet hall in Isanpur near Maninagar.,
Fresh Cook,continental,mid,naranpura,vegetarian;non_vegetarian,Casual dining restaurant in Naranpura.,
The Big Burger & Pizza,fast_food,budget,ghatlodia,vegetarian;non_vegetarian,Burger and pizza restaurant in Ghatlodia.,
Jasuben Pizza,fast_food,budget,law_garden,vegetarian,Well-known street-side pizza parlour near Law Garden.,
Ahmedabadi Biryani,biryani,budget,vejalpur,vegetarian;non_vegetarian,Biryani specialist restaurant in Vejalpur.,
T5 Taste Of Authenticity,multi_cuisine,mid,shela,vegetarian;non_vegetarian,Restaurant in Shela known for dum biryani and non-vegetarian dishes.,
Gwalia Sweets,sweets,budget,navrangpura,vegetarian,Sweets and namkeen shop in Navrangpura.,
Jai Hind Sweets,sweets,budget,navrangpura,vegetarian,Sweets shop in Navrangpura.,
Kandoi Bhogilal Mulchand,sweets,budget,manek_chowk,vegetarian,Historic sweets shop near Manek Chowk and Ashram Road.,
Das Khaman House,snacks,budget,stadium_road,vegetarian,Khaman and Gujarati snacks shop on Stadium Road.,
Das Farsan Products,snacks,budget,danapith,vegetarian,Farsan and Gujarati snacks shop in Danapith.,
Raipur Bhajiya House,snacks,budget,raipur_darwaja,vegetarian,Bhajiya and snacks shop near Raipur Darwaja.,
Rasmadhur,sweets,budget,shivranjani,vegetarian,Sweets shop near Shivranjani Cross Road.,
Havmor,ice_cream,budget,multiple_locations,vegetarian,Ahmedabad-origin ice cream and restaurant chain.,
Vadilal's Happinezz,ice_cream,budget,multiple_locations,vegetarian,Ahmedabad-origin ice cream parlour chain.,
Natural Ice Cream,ice_cream,budget,mithakhali,vegetarian,Ice cream parlour chain outlet in Mithakhali.,
Asharfi Kulfi Ice Cream,ice_cream,budget,panjara_pole,vegetarian,Kulfi and ice cream shop near Panjara Pole.,
Classic Ice Cream,ice_cream,budget,stadium_road,vegetarian,Ice cream parlour on Stadium Road.,
New Girish Cold Drinks,ice_cream,budget,ashram_road,vegetarian,Long-running ice cream and cold drinks shop on Ashram Road.,
Patel Ice Cream,ice_cream,budget,ishwar_bhuvan,vegetarian,Ice cream parlour near Ishwar Bhuvan.,
Gandhi Cold-Drink House,ice_cream,budget,mg_road,vegetarian,Cold drinks and dessert shop near MG Road.,
Chocolate Room,cafe,mid,multiple_locations,vegetarian,Dessert cafe and bakery chain.,
Freeze Land,ice_cream,budget,law_garden,vegetarian,Ice cream and dessert shop near Law Garden.,
Wah Pizza & Bhel House,street_food,budget,navrangpura,vegetarian,Casual pizza and bhel snack counter in Navrangpura.,
Anurag Purohit Namkeen & Sweets,sweets,budget,navrangpura,vegetarian,Namkeen and sweets shop in Navrangpura.,
Bikanervala,sweets,budget,satellite,vegetarian,Sweets and namkeen chain outlet in Satellite.,
Buddy Lee,cafe,budget,swastik_cross_road,vegetarian,Casual cafe near Swastik Cross Road.,
Cafe Piano,cafe,mid,sg_highway,vegetarian;non_vegetarian,Cafe on SG Highway.,
Cambay Cafe,cafe,mid,jivraj_park,vegetarian,Cafe in Jivraj Park.,
Mr Bean,cafe,budget,law_garden,vegetarian,Casual cafe near Law Garden.,
24/7 All Day Dining,multi_cuisine,mid,subhash_bridge,vegetarian;non_vegetarian,All-day dining multi-cuisine restaurant near Subhash Bridge.,
Seva Cafe,cafe,budget,cg_road,vegetarian,Pay-it-forward community cafe on CG Road.,
R.K. Omlet,street_food,budget,polytechnic_road,non_vegetarian,Street-food stall on Polytechnic Road known for egg dishes.,
